Device, URL, RAM, CPU, Display Resolution, Instruction Set, OpenGL ES 2.0, Vector Floating Point
Yarvik GoTab Zetta TAB468EUK, http://pdadb.net/index.php?m=specs&id=3512&view=1, 512, 1200, 1024x768, ARMv7-A,,
Samsung GT-P3110 Galaxy Tab 2 7.0 WiFi 16GB, http://pdadb.net/index.php?m=specs&id=3351&view=1, 1024, 1000, 1024x600, ARMv7,,
Asus Transformer Pad 300 WiFi / Eee Pad Transformer Prime TF300T, http://pdadb.net/index.php?m=specs&id=3364&view=1, 1024, 1200, 1280x800, ARMv7-A,,
Lava Xolo X900 (Intel Black Ray), http://pdadb.net/index.php?m=specs&id=3405&view=1, 1024, 1600, 600x1024, IA-32, Yes,
Asus Transformer Pad 300 3G / Eee Pad Transformer Prime TF300TG, http://pdadb.net/index.php?m=specs&id=3497&view=1, 1024, 1200, 1280x800, ARMv7-A,,
LG P720 Optimus 3D Max (LG CX2), http://pdadb.net/index.php?m=specs&id=3321&view=1, 1024, 1200, 480x800, ARMv7,,
LG LS696 / VM696 Optimus Elite, http://pdadb.net/index.php?m=specs&id=3463&view=1, 512, 800, 320x480, ARMv7-A, Yes,
HTC One X LTE / One X X325A (HTC Evita), http://pdadb.net/index.php?m=specs&id=3210&view=1, 1024, 1500, 720x1280, ARMv7,,
LG LS840 Viper 4G LTE, http://pdadb.net/index.php?m=specs&id=3470&view=1, 1024, 1200, 480x800, ARMv7,,
Samsung GT-S5690M Galaxy Rugby, http://pdadb.net/index.php?m=specs&id=3733&view=1, 512, 800, 320x480, ARMv5TE,,,
Huawei Ascend P1 S (Huawei U9200S), http://pdadb.net/index.php?m=specs&id=3300&view=1, 1024, 1500, 540x960, ARMv7,,
Huawei Ascend P1 (Huawei U9200), http://pdadb.net/index.php?m=specs&id=3301&view=1, 1024, 1500, 540x960, ARMv7,,
Panasonic ELUGA dL1, http://pdadb.net/index.php?m=specs&id=3376&view=1, 1024, 1000, 540x960, ARMv7,,
DataWind Aakash 2 UbiSlate 7+, http://pdadb.net/index.php?m=specs&id=3332&view=1,, 700, 800x480, ARMv7-A,,
Huawei T8301, http://pdadb.net/index.php?m=specs&id=3464&view=1, 512,, 480x800, , ,
Alcatel One Touch OT-985N, http://pdadb.net/index.php?m=specs&id=3443&view=1, 256, 650, 320x480, ARMv6,,
NEC Medias Tab N-06D LTE, http://pdadb.net/index.php?m=specs&id=3357&view=1, 1024, 1200, 1280x800, ARMv7,,
Samsung GT-i9210 Galaxy S II LTE EU (Samsung Celox), http://pdadb.net/index.php?m=specs&id=3372&view=1, 1024, 1500, 480x800, ARMv7,,
NEC Medias 101S, http://pdadb.net/index.php?m=specs&id=3530&view=1, 512, 1000, 480x854, ARMv7, Yes,
Samsung GT-S7508 Galaxy Ace Plus, http://pdadb.net/index.php?m=specs&id=3758&view=1, 384, 800, 320x480, ARMv5,,
Samsung SGH-i717D Galaxy Note, http://pdadb.net/index.php?m=specs&id=3681&view=1, 1024, 1500, 800x1280, ARMv7,,
Huawei Ascend Y200 (Huawei U8655), http://pdadb.net/index.php?m=specs&id=3431&view=1, 256, 800, 320x480, ARMv7-A, Yes,
Samsung GT-S6500D Galaxy Mini 2 (Samsung Jena), http://pdadb.net/index.php?m=specs&id=3344&view=1, 384, 800, 320x480, ARMv7-A, Yes,
Yarvik GoTab Xerios TAB461EUK, http://pdadb.net/index.php?m=specs&id=3520&view=1, 512, 1200, 1024x600, ARMv7-A,,
HTC One S Z250E / Z320E / Z520E (HTC Ville), http://pdadb.net/index.php?m=specs&id=3228&view=1, 1024, 1500, 540x960, ARMv7,,
Samsung YP-GB70ED Galaxy Player 70 Plus 16GB, http://pdadb.net/index.php?m=specs&id=3743&view=1,, 1000, 480x800, ARMv7,,
Huawei Ascend Y100 (Huawei U8185), http://pdadb.net/index.php?m=specs&id=3432&view=1,,, 240x320, ARMv7-A, Yes,
HTC One X S720e (HTC Endeavor), http://pdadb.net/index.php?m=specs&id=3381&view=1, 1024, 1500, 720x1280, ARMv7-A,,
Motorola MOTOSMART Flip XT611, http://pdadb.net/index.php?m=specs&id=3469&view=1, 512, 800, 320x480, ARMv6, Yes,
HTC One V T320e (HTC Primo), http://pdadb.net/index.php?m=specs&id=3382&view=1, 512, 1000, 480x800, ARMv7, Yes,
Yarvik GoTab Velocity TAB264, http://pdadb.net/index.php?m=specs&id=3507&view=1, 512, 1200, 800x480, ARMv7-A,,
LG E610 Optimus L5, http://pdadb.net/index.php?m=specs&id=3408&view=1, 512, 800, 320x480, ARMv7-A, Yes,
Emobile GS03 (Huawei U9200), http://pdadb.net/index.php?m=specs&id=3355&view=1, 1024, 1500, 540x960, ARMv7,,
LG MS695 Optimus M+, http://pdadb.net/index.php?m=specs&id=3450&view=1, 512, 800, 320x480, ARMv7-A, Yes,
Samsung SGH-i847 Rugby Smart, http://pdadb.net/index.php?m=specs&id=3775&view=1, 512, 1400, 480x800, ARMv7, Yes,
Samsung GT-i9070 Galaxy S Advance 16GB, http://pdadb.net/index.php?m=specs&id=3326&view=1, 768, 1000, 480x800, ARMv7-A,,
SoftBank Sharp Aquos 104SH, http://pdadb.net/index.php?m=specs&id=3178&view=1, 1024, 1500, 720x1280, ARMv7,,
ZTE X501, http://pdadb.net/index.php?m=specs&id=3311&view=1, 512, 800, 320x480, ARMv6, Yes,
Motorola i867 (Motorola Destino), http://pdadb.net/index.php?m=specs&id=3454&view=1, 256, 504, 320x480, ARMv6,, Yes
Samsung GT-S6500 Galaxy Mini 2 (Samsung Jena), http://pdadb.net/index.php?m=specs&id=3380&view=1, 384, 800, 320x480, ARMv7-A, Yes,
Samsung GT-P5100 Galaxy Tab 2 10.1 32GB, http://pdadb.net/index.php?m=specs&id=3391&view=1, 1024, 1000, 1280x800, ARMv7,,
Samsung GT-P5100 Galaxy Tab 2 10.1 16GB, http://pdadb.net/index.php?m=specs&id=3430&view=1, 1024, 1000, 1280x800, ARMv7,,
LG VS840 Lucid 4G (LG Cayman), http://pdadb.net/index.php?m=specs&id=3424&view=1, 1024, 1200, 480x800, ARMv7,,
Huawei S7-301c MediaPad, http://pdadb.net/index.php?m=specs&id=3429&view=1, 1024, 1200, 1280x800, ARMv7,,
Gigabyte GSmart G1355, http://pdadb.net/index.php?m=specs&id=3356&view=1, 512, 800, 480x800, ARMv6, Yes,
Samsung GT-S5300 Galaxy Pocket, http://pdadb.net/index.php?m=specs&id=3425&view=1, 256, 832, 240x320, ARMv6, Yes,
Motorola RAZR MAXX XT910 (Motorola Spyder Max), http://pdadb.net/index.php?m=specs&id=3468&view=1, 1024, 1200, 540x960, ARMv7,,
T-Mobile Samsung SGH-T769 Galaxy S Blaze 4G, http://pdadb.net/index.php?m=specs&id=3420&view=1, 1024, 1500, 480x800, ARMv7,,
Alcatel One Touch OT-995, http://pdadb.net/index.php?m=specs&id=3205&view=1, 512, 1400, 480x800, ARMv7, Yes,
Panasonic LUMIX Phone 102P, http://pdadb.net/index.php?m=specs&id=3352&view=1, 1024, 1000, 540x960, ARMv7,,
Samsung GT-P7320 Galaxy Tab 8.9 LTE 16GB, http://pdadb.net/index.php?m=specs&id=3174&view=1, 1024, 1200, 1280x800, ARMv7,,
Samsung GT-S7500 Galaxy Ace Plus, http://pdadb.net/index.php?m=specs&id=3283&view=1, 512, 1000, 320x480, ARMv7-A, Yes,
ViewSonic ViewPhone 3e V350T, http://pdadb.net/index.php?m=specs&id=3289&view=1, 512, 800, 320x480, ARMv6, Yes,
Sony Xperia acro HD SO-03D (Sony Hikari), http://pdadb.net/index.php?m=specs&id=3325&view=1, 1024, 1512, 720x1280, ARMv7,,
Samsung SHV-E140S Galaxy Tab 8.9 LTE M32, http://pdadb.net/index.php?m=specs&id=3437&view=1, 1024,, 1280x800, , ,
ZTE Score X500 M, http://pdadb.net/index.php?m=specs&id=3447&view=1, 512, 600, 320x480, ARMv6, Yes,
Alcatel Venture, http://pdadb.net/index.php?m=specs&id=3438&view=1, 512, 600, 240x320, ARMv6, Yes,
Alcatel One Touch OT-915, http://pdadb.net/index.php?m=specs&id=3354&view=1,,, 240x320, , ,
Hannspree HANNS pad SN-70T1, http://pdadb.net/index.php?m=specs&id=3113&view=1,, 800, 480x800, ARMv6, Yes,
Huawei Ascend G300 (Huawei U8815), http://pdadb.net/index.php?m=specs&id=3406&view=1, 512, 1000, 480x800, ARMv7-A, Yes,
Motorola RAZR IS12M XT909, http://pdadb.net/index.php?m=specs&id=3415&view=1, 1024, 1200, 540x960, ARMv7,,
LG Optimus LTE Tag, http://pdadb.net/index.php?m=specs&id=3378&view=1, 1024, 1200, 480x800, ARMv7,,
Spice Mi-280, http://pdadb.net/index.php?m=specs&id=3701&view=1,, 650, 240x320, ARMv6,,
NEC Medias ES N-05D, http://pdadb.net/index.php?m=specs&id=3328&view=1, 1024, 1500, 720x1280, ARMv7,,
Samsung GT-i9250M Galaxy Nexus (Samsung Yakju), http://pdadb.net/index.php?m=specs&id=3730&view=1, 1024, 1200, 720x1280, ARMv7,,
NTT DoCoMo Samsung SC-05D Galaxy Note LTE, http://pdadb.net/index.php?m=specs&id=3445&view=1, 1024, 1500, 800x1280, ARMv7,,
ZTE Fury N850, http://pdadb.net/index.php?m=specs&id=3428&view=1, 512, 1000, 320x480, ARMv7, Yes,
Huawei Ascend G300C (Huawei C8810), http://pdadb.net/index.php?m=specs&id=3333&view=1, 512, 800, 480x800, ARMv6, Yes,
Toshiba Excite 10 LE AT205 32GB, http://pdadb.net/index.php?m=specs&id=3484&view=1, 1024, 1200, 1280x800, ARMv7,,
Asus Eee Pad MeMO 171 ME370T 16GB, http://pdadb.net/index.php?m=specs&id=2938&view=1, 1024, 1200, 1280x800, ARMv7,,
LG F100L Optimus Vu / Optimus Sketch, http://pdadb.net/index.php?m=specs&id=3347&view=1, 1024, 1500, 768x1024, ARMv7,,
Sony Xperia S LT26 / LT26i / Arc HD (Sony Nozomi), http://pdadb.net/index.php?m=specs&id=3245&view=1, 1024, 1512, 720x1280, ARMv7,,
Huawei Ascend G300 NFC (Huawei U8815N), http://pdadb.net/index.php?m=specs&id=3426&view=1, 512, 1000, 480x800, ARMv7-A, Yes,
Samsung SHV-E150S Galaxy Tab 7.7 LTE M16, http://pdadb.net/index.php?m=specs&id=3436&view=1, 1024, 1500, 1280x800, ARMv7,,
LG MS840 Connect 4G (LG Cayman), http://pdadb.net/index.php?m=specs&id=3414&view=1, 1024, 1200, 480x800, ARMv7,,
Sony Tablet P (Sony S2), http://pdadb.net/index.php?m=specs&id=2859&view=1, 1024, 1000, 1024x480 1024x480, ARMv7-A, Yes,
Lenovo LePhone S2-38AT0 16GB, http://pdadb.net/index.php?m=specs&id=3345&view=1, 1024, 1000, 480x800, ARMv7,, Yes
LG Optimus Pad LTE, http://pdadb.net/index.php?m=specs&id=3306&view=1, 1024, 1500, 1280x768, ARMv7,,
Samsung SCH-R760 Galaxy S II CDMA, http://pdadb.net/index.php?m=specs&id=3750&view=1, 1024, 1200, 480x800, ARMv7,,
LG E400 Optimus L3, http://pdadb.net/index.php?m=specs&id=3327&view=1, 384, 800, 240x320, ARMv7-A, Yes,
ZTE Blade II, http://pdadb.net/index.php?m=specs&id=3418&view=1, 512, 1000, 480x800, ARMv7-A, Yes,
Asus Eee Pad Transformer TF101-WiMAX, http://pdadb.net/index.php?m=specs&id=3375&view=1, 1024, 1000, 1280x800, ARMv7-A, Yes,
Motorola XT535 Defy XT, http://pdadb.net/index.php?m=specs&id=3303&view=1, 512, 1000, 480x854, ARMv7-A, Yes,
Motorola Defy Mini XT320 A, http://pdadb.net/index.php?m=specs&id=3579&view=1, 512, 600, 320x480, ARMv7-A, Yes,
Samsung SCH-i579 Galaxy Ace Duos, http://pdadb.net/index.php?m=specs&id=2822&view=1, 384, 800, 320x480, ARMv6, Yes,
Sony Ericsson Xperia active ST17 Billabong Edition, http://pdadb.net/index.php?m=specs&id=3336&view=1, 512, 1000, 320x480, ARMv7, Yes,
Samsung GT-P6201 Galaxy Tab 7.0 Plus N 16GB, http://pdadb.net/index.php?m=specs&id=3358&view=1, 1024, 1200, 1024x600, ARMv7,,
Samsung GT-P6211 Galaxy Tab 7.0 Plus N WiFi 16GB, http://pdadb.net/index.php?m=specs&id=3359&view=1, 1024, 1200, 1024x600, ARMv7,,
Sony Xperia NX SO-02D (Sony Nozomi), http://pdadb.net/index.php?m=specs&id=3324&view=1, 1024, 1512, 720x1280, ARMv7,,
Yarvik GoTab Exxa TAB465EUK / GoTab Zetta TAB467EUK, http://pdadb.net/index.php?m=specs&id=3511&view=1, 512, 1200, 1024x768, ARMv7-A,,
Yarvik GoTab Xerios TAB424, http://pdadb.net/index.php?m=specs&id=3517&view=1, 512, 1200, 1024x600, ARMv7-A,,
Yarvik GoTab Velocity TAB224, http://pdadb.net/index.php?m=specs&id=3505&view=1, 512, 1200, 800x480, ARMv7-A,,
Yarvik GoTab Xerios TAB464, http://pdadb.net/index.php?m=specs&id=3519&view=1, 512, 1200, 1024x600, ARMv7-A,,
BN NOOK Tablet 8GB, http://pdadb.net/index.php?m=specs&id=3526&view=1, 512, 1000, 1024x600, ARMv7,,
Yarvik GoTab Gravity TAB364, http://pdadb.net/index.php?m=specs&id=3510&view=1, 512, 1200, 800x600, ARMv7-A,,
LG F100S Optimus Vu, http://pdadb.net/index.php?m=specs&id=3338&view=1, 1024, 1500, 768x1024, ARMv7,,
Alcatel One Touch OT-908F, http://pdadb.net/index.php?m=specs&id=3360&view=1, 512, 600, 240x320, ARMv6, Yes,
Motorola Defy Mini XT320, http://pdadb.net/index.php?m=specs&id=3255&view=1, 512, 600, 320x480, ARMv7-A, Yes,
Huawei Honor U8860-51 (Huawei U8860), http://pdadb.net/index.php?m=specs&id=3334&view=1, 512, 1400, 480x854, ARMv7, Yes,
Samsung Galaxy Ace Hugo Boss Edition (Samsung Cooper), http://pdadb.net/index.php?m=specs&id=3220&view=1,, 800, 320x480, ARMv6, Yes,
Samsung SGH-i717 Galaxy Note LTE, http://pdadb.net/index.php?m=specs&id=3288&view=1, 1024, 1500, 800x1280, ARMv7,,
NEC Medias LTE N-04D, http://pdadb.net/index.php?m=specs&id=3366&view=1, 1024, 1200, 720x1280, ARMv7,,
ZTE Light Tab 2 (ZTE V9A), http://pdadb.net/index.php?m=specs&id=3318&view=1, 1024, 1000, 600x1024, ARMv7, Yes,
ZTE T72, http://pdadb.net/index.php?m=specs&id=3319&view=1, 512, 800, 600x1024, ARMv7-A,,
Motorola MOTOSMART PLUS XT615, http://pdadb.net/index.php?m=specs&id=3287&view=1, 512, 800, 480x854, ARMv7-A, Yes,
Telstra HTC Velocity 4G (HTC Holiday), http://pdadb.net/index.php?m=specs&id=3308&view=1, 1024, 1500, 540x960, ARMv7,,
Fujitsu Stylistic M350/CA2, http://pdadb.net/index.php?m=specs&id=3330&view=1, 512, 1000, 600x1024, ARMv7, Yes, Yes
Samsung SCH-i889 Galaxy Note, http://pdadb.net/index.php?m=specs&id=3343&view=1, 1024, 1433, 800x1280, ARMv7,,
Samsung GT-S6108 Galaxy Y Pop, http://pdadb.net/index.php?m=specs&id=3759&view=1, 384, 624, 240x320, ARMv5,,
Motorola DROID 4 XT894 (Motorola Maserati), http://pdadb.net/index.php?m=specs&id=3203&view=1, 1024, 1200, 540x960, ARMv7,,
Toshiba Excite 10 LE AT205 16GB, http://pdadb.net/index.php?m=specs&id=3546&view=1, 1024, 1200, 1280x800, ARMv7,,
Samsung GT-i9250 Galaxy Nexus 32GB / Prime (Samsung Yakju), http://pdadb.net/index.php?m=specs&id=3285&view=1, 1024, 1200, 720x1280, ARMv7,,
Toshiba Excite X10 AT200 16GB, http://pdadb.net/index.php?m=specs&id=3098&view=1, 1024, 1200, 1280x800, ARMv7,,
Samsung SCH-R920 Galaxy Attain 4G, http://pdadb.net/index.php?m=specs&id=3695&view=1, 512, 1000, 320x480, ARMv7, Yes,
Huawei S7-302u MediaPad 4G, http://pdadb.net/index.php?m=specs&id=3329&view=1, 1024, 1200, 1280x800, ARMv7,,
Verizon Samsung SCH-i815 Galaxy Tab 7.7 LTE, http://pdadb.net/index.php?m=specs&id=3257&view=1, 1024, 1400, 1280x800, ARMv7,,
Mobile In Style ET-701 eden TAB, http://pdadb.net/index.php?m=specs&id=3335&view=1, 1024, 1200, 1280x800, ARMv7,,
Samsung GT-S5512 Galaxy Y Pro Duos, http://pdadb.net/index.php?m=specs&id=3265&view=1, 384, 833, 320x240, ARMv6, Yes,
Motorola DROID RAZR MAXX XT912 (Motorola Spyder Max), http://pdadb.net/index.php?m=specs&id=3293&view=1, 1024, 1200, 540x960, ARMv7,,
Pantech Element P4100, http://pdadb.net/index.php?m=specs&id=3296&view=1, 1024, 1500, 1024x768, ARMv7,,
Pantech Burst P9070, http://pdadb.net/index.php?m=specs&id=3315&view=1, 1024, 1200, 480x800, ARMv7,,
NTT DoCoMo Fujitsu Arrows Micro F-07D, http://pdadb.net/index.php?m=specs&id=3363&view=1, 512, 1400, 480x800, ARMv7, Yes,
Asus Eee Pad Transformer Prime TF201 64GB, http://pdadb.net/index.php?m=specs&id=3179&view=1, 1024, 1300, 1280x800, ARMv7-A,,
Spice Mi-350n, http://pdadb.net/index.php?m=specs&id=3700&view=1, 256, 650, 320x480, ARMv6,,
Samsung SHV-E160K Galaxy Note LTE, http://pdadb.net/index.php?m=specs&id=3568&view=1, 1024, 1500, 800x1280, ARMv7,,
LG VS920 Spectrum 4G, http://pdadb.net/index.php?m=specs&id=3286&view=1, 1024, 1500, 720x1280, ARMv7,,
Motorola XYBOARD 10.1 WiFi 32GB, http://pdadb.net/index.php?m=specs&id=3294&view=1, 1024, 1200, 1280x800, ARMv7,,
Motorola XYBOARD 8.2 WiFi 32GB, http://pdadb.net/index.php?m=specs&id=3292&view=1, 1024, 1200, 1280x800, ARMv7,,
SoftBank Sharp Aquos 103SH, http://pdadb.net/index.php?m=specs&id=3182&view=1,, 1000, 540x960, ARMv7, Yes,
Alcatel One Touch OT-910, http://pdadb.net/index.php?m=specs&id=3594&view=1, 256, 600, 240x320, ARMv6, Yes,
Dell Streak Pro 101DL, http://pdadb.net/index.php?m=specs&id=3141&view=1,, 1500, 540x960, ARMv7,,
Samsung GT-S6102 Galaxy Y Duos, http://pdadb.net/index.php?m=specs&id=3269&view=1, 384, 833, 240x320, ARMv6, Yes,
Archos 101 G9 Turbo 250GB, http://pdadb.net/index.php?m=specs&id=3263&view=1, 512, 1500, 1280x800, ARMv7,,
Archos 80 G9 Turbo 250GB, http://pdadb.net/index.php?m=specs&id=3264&view=1, 512, 1500, 1024x768, ARMv7,,
Samsung GT-i9228 Galaxy Note, http://pdadb.net/index.php?m=specs&id=3694&view=1, 1024, 1400, 800x1280, ARMv7,,
Samsung SHV-E120L Galaxy S II HD (Samsung Dali), http://pdadb.net/index.php?m=specs&id=3716&view=1, 1024, 1500, 720x1280, ARMv7,,
Motorola i940, http://pdadb.net/index.php?m=specs&id=3455&view=1, 256, 504, 320x480, ARMv6,, Yes
Orange Tahiti, http://pdadb.net/index.php?m=specs&id=3317&view=1, 512, 1200, 1280x800, ARMv7,,
Motorola MOTO XT681, http://pdadb.net/index.php?m=specs&id=3341&view=1, 512, 800, 480x854, ARMv6, Yes,
Yarvik GoTab Xerios TAB420, http://pdadb.net/index.php?m=specs&id=3514&view=1, 512, 1200, 1024x600, ARMv7-A,,
KDDI Fujitsu Arrows ES IS12F, http://pdadb.net/index.php?m=specs&id=3253&view=1, 512, 1400, 480x800, ARMv7, Yes,
Yarvik GoTab Xerios TAB460, http://pdadb.net/index.php?m=specs&id=3518&view=1, 512, 1200, 1024x600, ARMv7-A,,
Meizu MX, http://pdadb.net/index.php?m=specs&id=3248&view=1, 1024, 1400, 640x960, ARMv7,,
Acer Iconia Tab A200 8GB, http://pdadb.net/index.php?m=specs&id=3246&view=1, 1024, 1000, 1280x800, ARMv7-A, Yes,
Motorola XT532, http://pdadb.net/index.php?m=specs&id=3487&view=1, 512, 800, 320x480, ARMv6, Yes,
NEC Medias CH 101N, http://pdadb.net/index.php?m=specs&id=3188&view=1,, 1400, 480x800, ARMv7, Yes,
Yarvik GoTab Slimline TAB450, http://pdadb.net/index.php?m=specs&id=3516&view=1, 512, 1000, 1024x600, ARMv6,, Yes
Samsung SCH-i509 Galaxy Y, http://pdadb.net/index.php?m=specs&id=3766&view=1, 384, 800, 240x320, ARMv6, Yes,
Vodafone Smart Tab 10 (ZTE Web Tab 10), http://pdadb.net/index.php?m=specs&id=3368&view=1, 1024, 1200, 1280x800, ARMv7,,
Alcatel One Touch OT-918N, http://pdadb.net/index.php?m=specs&id=3596&view=1, 256, 650, 320x480, ARMv6,,
Asus Eee Pad Transformer Prime TF201 32GB, http://pdadb.net/index.php?m=specs&id=3211&view=1, 1024, 1300, 1280x800, ARMv7-A,,
Motorola XOOM2 MZ616 32GB / XOOM 2, http://pdadb.net/index.php?m=specs&id=3267&view=1, 1024, 1200, 1280x800, ARMv7,,
Motorola XOOM2 Media Edition MZ608 16GB / XOOM 2 ME, http://pdadb.net/index.php?m=specs&id=3266&view=1, 1024, 1200,, ARMv7,,
Samsung SHV-E160S Galaxy Note LTE, http://pdadb.net/index.php?m=specs&id=3290&view=1, 1024, 1500, 800x1280, ARMv7,,
Samsung SHV-E160L Galaxy Note LTE, http://pdadb.net/index.php?m=specs&id=3569&view=1, 1024, 1500, 800x1280, ARMv7,,
LG P940 Prada 3.0 (LG K2), http://pdadb.net/index.php?m=specs&id=3038&view=1, 1024, 1008, 480x800, ARMv7,,
LG KU5400 Prada 3.0 (LG K2), http://pdadb.net/index.php?m=specs&id=3567&view=1, 1024, 1008, 480x800, ARMv7,,
Yarvik GoTab Velocity TAB260, http://pdadb.net/index.php?m=specs&id=3506&view=1, 512, 1200, 800x480, ARMv7-A,,
Yarvik GoTab Velocity TAB220, http://pdadb.net/index.php?m=specs&id=3504&view=1, 512, 1200, 800x480, ARMv7-A,,
Yarvik GoTab Gravity TAB360, http://pdadb.net/index.php?m=specs&id=3509&view=1, 512, 1200, 800x600, ARMv7-A,,
Huawei Ascend II U.S. Cellular, http://pdadb.net/index.php?m=specs&id=3270&view=1, 256, 600, 320x480, ARMv6, Yes,
LG SU540 Prada 3.0 (LG K2), http://pdadb.net/index.php?m=specs&id=3566&view=1, 1024, 1008, 480x800, ARMv7,,
Yarvik GoTab Slimline TAB411, http://pdadb.net/index.php?m=specs&id=3515&view=1, 512, 1000, 1024x600, ARMv6,, Yes
Vodafone Smart Tab 7 (ZTE Web Tab 7), http://pdadb.net/index.php?m=specs&id=3367&view=1, 1024, 1200, 800x1280, ARMv7,,
Alcatel One Touch OT-918D, http://pdadb.net/index.php?m=specs&id=3244&view=1, 256, 650, 320x480, ARMv6,,
Alcatel One Touch OT-918, http://pdadb.net/index.php?m=specs&id=3595&view=1, 256, 650, 320x480, ARMv6,,
Hannspree HANNS pad SN-10T4, http://pdadb.net/index.php?m=specs&id=3112&view=1, 1024, 1000, 1280x800, ARMv7,,
Huawei Honor (Huawei U8860), http://pdadb.net/index.php?m=specs&id=3093&view=1, 512, 1400, 480x854, ARMv7, Yes,
Lenovo LePhone K2, http://pdadb.net/index.php?m=specs&id=3239&view=1, 1024, 1500,, ARMv7,,
Samsung SHV-E120K Galaxy S II HD (Samsung Dali), http://pdadb.net/index.php?m=specs&id=3715&view=1, 1024, 1500, 720x1280, ARMv7,,
Huawei Mercury M886 (Huawei Glory), http://pdadb.net/index.php?m=specs&id=3063&view=1, 512, 1400, 480x854, ARMv7, Yes,
Ainol NOVO7 Advanced, http://pdadb.net/index.php?m=specs&id=3252&view=1, 512, 1500, 800x480, ARMv7-A,,
Kyocera HONEY BEE 101K, http://pdadb.net/index.php?m=specs&id=3185&view=1,, 1200, 480x800, ARMv7, Yes,
ZTE Blade S (ZTE Crescent), http://pdadb.net/index.php?m=specs&id=3235&view=1, 512, 800, 480x800, ARMv6, Yes,
LG P698 Optimus Link, http://pdadb.net/index.php?m=specs&id=3242&view=1, 512, 800, 320x480, ARMv6, Yes,
ZTE V881 (ZTE Aglaia), http://pdadb.net/index.php?m=specs&id=3243&view=1, 512, 1400, 480x800, ARMv7, Yes,
T-Mobile Huawei S7-303u SpringBoard 4G, http://pdadb.net/index.php?m=specs&id=3160&view=1, 1024, 1200, 1280x800, ARMv7,,
Motorola MOTO MT917 / RAZR R, http://pdadb.net/index.php?m=specs&id=3201&view=1, 1024, 1200, 540x960, ARMv7,,
Motorola MOTOLUXE XT615, http://pdadb.net/index.php?m=specs&id=3219&view=1, 512, 800, 480x854, ARMv7-A, Yes,
Lenovo S2 8GB, http://pdadb.net/index.php?m=specs&id=3305&view=1, 512, 1400, 480x800, ARMv7, Yes,
LG LS700 Optimus Slider (LG Gelato Q), http://pdadb.net/index.php?m=specs&id=3145&view=1,, 800, 320x480, ARMv6, Yes,
Samsung SHV-E120S Galaxy S II HD LTE (Samsung Dali), http://pdadb.net/index.php?m=specs&id=3064&view=1, 1024, 1500, 720x1280, ARMv7,,
Samsung GT-P6800 Galaxy Tab 7.7 64GB, http://pdadb.net/index.php?m=specs&id=3101&view=1, 1024, 1400, 1280x800, ARMv7,,
Sony Walkman NW-Z1070 64GB, http://pdadb.net/index.php?m=specs&id=3117&view=1, 512, 1000, 480x800, ARMv7-A, Yes,
Samsung GT-P6200 Galaxy Tab 7.0 Plus 16GB, http://pdadb.net/index.php?m=specs&id=3218&view=1, 1024, 1200, 1024x600, ARMv7,,
Samsung GT-P7501 Galaxy Tab 10.1N 16GB, http://pdadb.net/index.php?m=specs&id=3225&view=1, 1024, 1000, 1280x800, ARMv7-A, Yes,
Alcatel One Touch OT-909S / OT-909A, http://pdadb.net/index.php?m=specs&id=3262&view=1, 256, 600, 240x320, ARMv6, Yes,
Motorola DROID XYBOARD MZ617 4G LTE 64GB, http://pdadb.net/index.php?m=specs&id=3229&view=1, 1024, 1200, 1280x800, ARMv7,,
Motorola DROID XYBOARD 8.2 MZ609 32GB, http://pdadb.net/index.php?m=specs&id=3230&view=1, 1024, 1200, 1280x800, ARMv7,,
Motorola XT928, http://pdadb.net/index.php?m=specs&id=3234&view=1, 1024, 1200, 720x1280, ARMv7,,
Lenovo LePad S2007, http://pdadb.net/index.php?m=specs&id=3273&view=1, 1024, 1500, 1280x800, ARMv7,,
Lenovo LePad S2010, http://pdadb.net/index.php?m=specs&id=3274&view=1, 1024, 1500, 1280x800, ARMv7,,
LG LU6200 Optimus LTE, http://pdadb.net/index.php?m=specs&id=3156&view=1, 1024, 1500, 720x1280, ARMv7,,
Sony Walkman NW-Z1060 32GB, http://pdadb.net/index.php?m=specs&id=3116&view=1, 512, 1000, 480x800, ARMv7-A, Yes,
Samsung GT-P6810 Galaxy Tab 7.7 WiFi 16GB, http://pdadb.net/index.php?m=specs&id=3135&view=1, 1024, 1400, 1280x800, ARMv7,,
Samsung SGH-T859 Galaxy Tab 10.1 4G 16GB (Samsung Arnold), http://pdadb.net/index.php?m=specs&id=3146&view=1, 1024, 1000, 1280x800, ARMv7-A, Yes,
Pantech Vega LTE M IM-A810S SKY, http://pdadb.net/index.php?m=specs&id=3272&view=1, 1024, 1500, 800x1280, ARMv7,,
Samsung SCH-i515 Galaxy Nexus (Samsung Prime), http://pdadb.net/index.php?m=specs&id=3215&view=1, 1024, 1200, 720x1280, ARMv7,,
Samsung SCH-R720 Vitality, http://pdadb.net/index.php?m=specs&id=3704&view=1, 512, 800, 320x480, , ,
Ainol NOVO7 Basic, http://pdadb.net/index.php?m=specs&id=3251&view=1, 512, 1000, 800x480, MIPS32,,
SoftBank Sharp Aquos 102SH, http://pdadb.net/index.php?m=specs&id=3181&view=1, 1024, 1000, 720x1280, ARMv7,,
