Device, URL, RAM, CPU, Display Resolution, Instruction Set, OpenGL ES 2.0, Vector Floating Point
ZTE Grand X IN 16GB, http://pdadb.net/index.php?m=specs&id=3818&view=1, 1024, 1600, 540x960, IA-32, Yes,
Huawei MediaPad 10 FHD S10-101u 64GB, http://pdadb.net/index.php?m=specs&id=3396&view=1, 1024, 1200, 1920x1200, ARMv7,,
Huawei Ascend P LTE / P1 4G U9202L, http://pdadb.net/index.php?m=specs&id=3411&view=1, 1024, 1500, 540x960, ARMv7,,
Acer Liquid Gallant Duo AK330, http://pdadb.net/index.php?m=specs&id=3672&view=1, 1024, 1000, 540x960, ARMv7,,
Huawei Ascend G330 (Huawei U8825D), http://pdadb.net/index.php?m=specs&id=3676&view=1, 512, 1000, 480x800, ARMv7-A, Yes,
Huawei MediaPad 7 Lite S7-931u, http://pdadb.net/index.php?m=specs&id=3697&view=1, 1024, 1200, 1024x600, ARMv7-A,,
Huawei MediaPad 10 FHD S10-101u 16GB, http://pdadb.net/index.php?m=specs&id=3741&view=1, 1024, 1200, 1920x1200, ARMv7,,
Lenovo IdeaTab A2107A 16GB, http://pdadb.net/index.php?m=specs&id=3817&view=1, 1024, 1000, 1024x600, ARMv7,,
Lenovo LePhone A660, http://pdadb.net/index.php?m=specs&id=3839&view=1, 512, 1000, 480x800, ARMv7,,
HTC Desire 4G LTE ADR6410L (HTC Fireball), http://pdadb.net/index.php?m=specs&id=3876&view=1, 1024, 1200, 540x960, ARMv7,,
LG P895 Optimus Vu, http://pdadb.net/index.php?m=specs&id=3677&view=1, 1024, 1500, 768x1024, ARMv7-A,,
Nikon COOLPIX S800c, http://pdadb.net/index.php?m=specs&id=3781&view=1, 512,, 854x480, ARMv7-A,,
Sony Xperia J ST26 / ST26i (Sony JLo), http://pdadb.net/index.php?m=specs&id=3770&view=1, 512, 1000, 480x854, ARMv7-A, Yes,
NEC Medias Tab UL N-08D, http://pdadb.net/index.php?m=specs&id=3831&view=1, 1024, 1512, 800x1280, ARMv7,,
Samsung SHV-E250S Galaxy Note II LTE, http://pdadb.net/index.php?m=specs&id=3851&view=1, 2048, 1600, 720x1280, ARMv7,,
Acer CloudMobile S500, http://pdadb.net/index.php?m=specs&id=3407&view=1, 1024, 1500, 720x1280, ARMv7,,
Samsung GT-N7100 Galaxy Note II 32GB, http://pdadb.net/index.php?m=specs&id=3802&view=1, 2048, 1600, 720x1280, ARMv7,,
Motorola Master XT605 (Motorola Jorian), http://pdadb.net/index.php?m=specs&id=3894&view=1, 512, 1200, 480x640, ARMv7, Yes,
Sony Xperia Tipo Dual ST21a2 (Sony Tapioca DS), http://pdadb.net/index.php?m=specs&id=3619&view=1, 512, 800, 320x480, ARMv7-A, Yes,
Sony Xperia Tipo ST21a (Sony Tapioca SS), http://pdadb.net/index.php?m=specs&id=3618&view=1, 512, 800, 320x480, ARMv7-A, Yes,
Samsung GT-N7100 Galaxy Note II 64GB, http://pdadb.net/index.php?m=specs&id=3801&view=1, 2048, 1600, 720x1280, ARMv7,,
Samsung GT-N7100 Galaxy Note II 16GB, http://pdadb.net/index.php?m=specs&id=3803&view=1, 2048, 1600, 720x1280, ARMv7,,
Pantech Vega R3 IM-A850K, http://pdadb.net/index.php?m=specs&id=3674&view=1, 2048, 1512, 720x1280, ARMv7,,
Sony Xperia T LT30p (Sony Mint Rita), http://pdadb.net/index.php?m=specs&id=3707&view=1, 1024, 1500, 720x1280, ARMv7,,
Pantech Vega R3 IM-A850S, http://pdadb.net/index.php?m=specs&id=3892&view=1, 2048, 1512, 720x1280, ARMv7,,
Acer Liquid Gallant Duo E350, http://pdadb.net/index.php?m=specs&id=3773&view=1, 1024, 1000, 540x960, ARMv7,,
Samsung SCH-i699 Galaxy Trend, http://pdadb.net/index.php?m=specs&id=3586&view=1,, 1000, 480x800, , ,
Samsung GT-S7562 Galaxy S Duos, http://pdadb.net/index.php?m=specs&id=3765&view=1,, 1000, 480x800, ARMv7-A, Yes,
Samsung EK-GC100 Galaxy Camera, http://pdadb.net/index.php?m=specs&id=3813&view=1, 1024, 1400, 1280x720, ARMv7,,
Samsung GT-N7005 Galaxy Note LTE, http://pdadb.net/index.php?m=specs&id=3864&view=1, 1024, 1500, 800x1280, ARMv7,,
LG F-180S Optimus G, http://pdadb.net/index.php?m=specs&id=3791&view=1, 2048, 1512, 768x1280, ARMv7,,
